model,precision,recall,f1,fpr,tp,fp,tn,fn
RandomForest,0.9994380759721285,0.999887564650326,0.9996627697841727,0.0007013606396409033,8893,5,7124,1
LogisticRegression,0.988186782569932,0.9969642455588037,0.9925561090278167,0.014868845560387152,8867,106,7023,27
LinearSVC,0.9876378215836953,0.9970766809084777,0.9923348066916579,0.015570206200028055,8868,111,7018,26
