config,precision,recall,f1,fpr,ep_f1_over_0.80,ep_fpr_under_0.20,normal_allow_pct,normal_isolate_pct,avg_episode_reward_last10
v1_baseline,0.4604008144893366,0.09476749316156358,0.15718127435376764,0.13608108108108108,,0,0.8639189189189189,0.05078378378378379,0.7424
v2_balanced,0.8663918625158935,0.9319465278390541,0.8979743660594725,0.1760810810810811,5.0,0,0.8239189189189189,0.1355135135135135,2.5744
v3_finetuned,0.8763105368210946,0.9200564722491839,0.8976508442110473,0.1591081081081081,5.0,0,0.8408918918918918,0.15267567567567566,2.466
