feature_set,model,policy,feature_count,files,precision_mean,recall_mean,f1_mean,f1_std,fpr_mean,auroc_mean,pr_auc_mean
full,xgb_per_bssid,fpr_le_0.20,143,17,0.5532117296370371,0.9409236319369063,0.6745344525608791,0.18263791935896503,0.056108403049123394,0.9785967168137245,0.7103052378800682
drop_timing_seq,xgb_per_bssid,fpr_le_0.20,129,17,0.535244920082452,0.947630517123527,0.6646809384716988,0.17755500756774956,0.059498619509316175,0.9761389708248984,0.6828375214754372
full,xgb_per_bssid,best_f1,143,17,0.5301495134416158,0.9672355024800346,0.6631448664932273,0.19204356877240344,0.06490417337883428,0.9785967168137245,0.7103052378800682
drop_timing_seq,xgb_per_bssid,best_f1,129,17,0.5267138740064702,0.9697393608352395,0.6625144801233878,0.1853423642519611,0.06408624390797986,0.9761389708248984,0.6828375214754372
drop_phy_radio,xgb_per_bssid,fpr_le_0.20,95,17,0.5134770358711552,0.9673761716843008,0.649874646909,0.18986010095818678,0.07100009912714296,0.9768889012749855,0.7536031615558795
drop_phy_radio,xgb_per_bssid,best_f1,95,17,0.5502864328895702,0.88747747240959,0.6461496784463895,0.18237556969892366,0.0556295693599606,0.9768889012749855,0.7536031615558795
drop_timing_seq,rf_per_bssid,best_f1,129,17,0.5079398032849127,0.9391102205893117,0.636905574861416,0.18520952653213213,0.06969204307736962,0.9688926900720785,0.6202319676277719
drop_timing_seq,rf_per_bssid,fpr_le_0.20,129,17,0.5031365804358067,0.948656303147331,0.6357466037305861,0.18578257294152284,0.07183724166700027,0.9688926900720785,0.6202319676277719
full,rf_per_bssid,best_f1,143,17,0.4981499646734714,0.9611777435494735,0.6340980347444646,0.19358306726466443,0.07710765067588135,0.970584477251636,0.6390352939559101
full,rf_per_bssid,fpr_le_0.20,143,17,0.48796673007966607,0.9748715076922105,0.6289497126356657,0.1946402057773528,0.08216692506006434,0.970584477251636,0.6390352939559101
drop_phy_radio,rf_per_bssid,fpr_le_0.20,95,17,0.4801837297700309,0.9683959359368364,0.6218413880294155,0.18797746803233084,0.08321679992756562,0.9686000596305654,0.6424262761068272
drop_phy_radio,rf_per_bssid,best_f1,95,17,0.5021335750763851,0.9130791092155641,0.621440178069677,0.18634591253672647,0.07335223630601635,0.9686000596305654,0.6424262761068272
drop_mgmt_fingerprint,xgb_per_bssid,best_f1,121,17,0.4093402664144381,0.7277632420613754,0.4907204409138636,0.16742757729430618,0.09473021822692536,0.9260278144212739,0.5255922145861431
drop_mgmt_phy,xgb_per_bssid,best_f1,73,17,0.40303625155944445,0.6826976385143083,0.48748981376440087,0.150439974554501,0.0867206300313572,0.9183139908900035,0.5294413442414373
drop_mgmt_fingerprint,xgb_per_bssid,fpr_le_0.20,121,17,0.29032901703081976,0.9018895906674688,0.42520835500554793,0.15690949146695052,0.18366334512108662,0.9260278144212739,0.5255922145861431
drop_mgmt_fingerprint,rf_per_bssid,best_f1,121,17,0.3315322168663951,0.7157344864715456,0.42490712867335473,0.15823265890380328,0.12243427632363438,0.9045660405163855,0.40051493207802036
drop_mgmt_phy,rf_per_bssid,best_f1,73,17,0.3603049699217764,0.5461491952976998,0.42167081631536263,0.1622791085258986,0.09056602638834521,0.898837863282648,0.39923415385625605
drop_mgmt_phy,xgb_per_bssid,fpr_le_0.20,73,17,0.28183008352531536,0.9002989274468127,0.41616065647806666,0.14900659138574035,0.19025563707044493,0.9183139908900035,0.5294413442414373
drop_mgmt_phy,rf_per_bssid,fpr_le_0.20,73,17,0.2681545839014902,0.8625746239079689,0.39460434765395336,0.14449823327535397,0.1988053068589363,0.898837863282648,0.39923415385625605
drop_mgmt_fingerprint,rf_per_bssid,fpr_le_0.20,121,17,0.26267398254118546,0.8914556400816623,0.3884735764286978,0.15396495980567182,0.21458885046907572,0.9045660405163855,0.40051493207802036
drop_mgmt_phy_timing_seq,xgb_per_bssid,fpr_le_0.20,62,17,0.252761675343382,0.6951654564785905,0.35405147501029477,0.12906802238778062,0.16872050384296286,0.8766016881873409,0.4429076751687848
drop_mgmt_phy_timing_seq,xgb_per_bssid,best_f1,62,17,0.4142920072517612,0.3773966897875456,0.3477180520587682,0.1353006962387751,0.043496496581855934,0.8766016881873409,0.4429076751687848
drop_mgmt_phy_timing_seq,rf_per_bssid,best_f1,62,17,0.2850957322410635,0.5201442876690515,0.3383511373550085,0.1256116709949823,0.11657959636464206,0.8638063856654276,0.391926431668685
drop_mgmt_phy_timing_seq,rf_per_bssid,fpr_le_0.20,62,17,0.22418813036581062,0.7236388999501375,0.33060710795787224,0.11680979322406917,0.20499615332676924,0.8638063856654276,0.391926431668685
