feature_set,model,test_file,val_file,policy,feature_count,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
full,xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,best_f1,143,1000,1,0.7168038153648392,0.01818181818181818,1.0,0.03571428571428571,0.05405405405405406,0.994994994994995,0.16666666666666666,945,54,0,1
full,xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.20,143,1000,1,0.8451410531997681,0.037037037037037035,1.0,0.07142857142857142,0.026026026026026026,0.994994994994995,0.16666666666666666,973,26,0,1
full,rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,best_f1,143,1000,1,0.563628554674452,0.022727272727272728,1.0,0.044444444444444446,0.043043043043043044,0.98998998998999,0.09090909090909091,956,43,0,1
full,rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.20,143,1000,1,0.5170332629914728,0.016666666666666666,1.0,0.03278688524590164,0.05905905905905906,0.98998998998999,0.09090909090909091,940,59,0,1
full,xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,best_f1,143,1001,28,0.790044877529145,0.17687074829931973,0.9285714285714286,0.29714285714285715,0.12435765673175746,0.9347746292761709,0.19002755670428542,852,121,2,26
full,xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,28,0.8498807549476624,0.21008403361344538,0.8928571428571429,0.3401360544217687,0.09660842754367935,0.9347746292761709,0.19002755670428542,879,94,3,25
full,rf_per_bssid,RogueAP_24.csv,RogueAP_39.csv,best_f1,143,1001,28,0.47122602139433584,0.11659192825112108,0.9285714285714286,0.20717131474103587,0.20246659815005139,0.9035016884451623,0.14946401102651946,776,197,2,26
full,rf_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,28,0.4228105172992184,0.11555555555555555,0.9285714285714286,0.20553359683794467,0.20452209660842754,0.9035016884451623,0.14946401102651946,774,199,2,26
full,xgb_per_bssid,RogueAP_25.csv,RogueAP_39.csv,best_f1,143,1001,83,0.6697366714477556,0.5157232704402516,0.9879518072289156,0.6776859504132231,0.08387799564270153,0.9704898023466415,0.7387232330969737,841,77,1,82
full,xgb_per_bssid,RogueAP_25.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,83,0.8137210011482239,0.5302013422818792,0.9518072289156626,0.6810344827586207,0.07625272331154684,0.9704898023466415,0.7387232330969737,848,70,4,79
full,rf_per_bssid,RogueAP_25.csv,RogueAP_39.csv,best_f1,143,1001,83,0.49599500492497767,0.4819277108433735,0.963855421686747,0.642570281124498,0.09368191721132897,0.9641704071186707,0.6514823719441348,832,86,3,80
full,rf_per_bssid,RogueAP_25.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,83,0.44494131707581497,0.46285714285714286,0.9759036144578314,0.627906976744186,0.10239651416122005,0.9641704071186707,0.6514823719441348,824,94,2,81
full,xgb_per_bssid,RogueAP_26.csv,RogueAP_39.csv,best_f1,143,1000,79,0.7512175631523141,0.5642857142857143,1.0,0.7214611872146118,0.06623235613463627,0.9815692903970642,0.7961142144038882,860,61,0,79
full,xgb_per_bssid,RogueAP_26.csv,RogueAP_39.csv,fpr_le_0.20,143,1000,79,0.8236987590789795,0.572463768115942,1.0,0.728110599078341,0.06406080347448426,0.9815692903970642,0.7961142144038882,862,59,0,79
full,rf_per_bssid,RogueAP_26.csv,RogueAP_39.csv,best_f1,143,1000,79,0.552787671182991,0.5302013422818792,1.0,0.6929824561403509,0.07600434310532031,0.9791915776742396,0.7372368578905062,851,70,0,79
full,rf_per_bssid,RogueAP_26.csv,RogueAP_39.csv,fpr_le_0.20,143,1000,79,0.5069453348942593,0.5266666666666666,1.0,0.6899563318777293,0.07709011943539631,0.9791915776742396,0.7372368578905062,850,71,0,79
full,xgb_per_bssid,RogueAP_27.csv,RogueAP_39.csv,best_f1,143,997,70,0.6946893763542193,0.5371900826446281,0.9285714285714286,0.680628272251309,0.06040992448759439,0.9809215595623362,0.8041603092938969,871,56,5,65
full,xgb_per_bssid,RogueAP_27.csv,RogueAP_39.csv,fpr_le_0.20,143,997,70,0.8445901870727539,0.5729166666666666,0.7857142857142857,0.6626506024096386,0.04422869471413161,0.9809215595623362,0.8041603092938969,886,41,15,55
full,rf_per_bssid,RogueAP_27.csv,RogueAP_39.csv,best_f1,143,997,70,0.5009640999764289,0.4806201550387597,0.8857142857142857,0.6231155778894473,0.07227615965480043,0.9686392356295269,0.6548825569452317,860,67,8,62
full,rf_per_bssid,RogueAP_27.csv,RogueAP_39.csv,fpr_le_0.20,143,997,70,0.44726675491503676,0.4732824427480916,0.8857142857142857,0.6169154228855721,0.0744336569579288,0.9686392356295269,0.6548825569452317,858,69,8,62
full,xgb_per_bssid,RogueAP_28.csv,RogueAP_39.csv,best_f1,143,1001,83,0.731338675022126,0.628099173553719,0.9156626506024096,0.7450980392156863,0.049019607843137254,0.9852153712890779,0.8553875432162005,873,45,7,76
full,xgb_per_bssid,RogueAP_28.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,83,0.800066351890564,0.7415730337078652,0.7951807228915663,0.7674418604651163,0.02505446623093682,0.9852153712890779,0.8553875432162005,895,23,17,66
full,rf_per_bssid,RogueAP_28.csv,RogueAP_39.csv,best_f1,143,1001,83,0.44382854592318577,0.5692307692307692,0.891566265060241,0.6948356807511737,0.06100217864923747,0.9763235950337297,0.7484769622367808,862,56,9,74
