feature_set,model,test_file,val_file,policy,feature_count,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
full,rf_per_bssid,RogueAP_28.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,83,0.3797586510874509,0.574468085106383,0.9759036144578314,0.7232142857142857,0.06535947712418301,0.9763235950337297,0.7484769622367808,858,60,2,81
full,xgb_per_bssid,RogueAP_29.csv,RogueAP_39.csv,best_f1,143,1001,164,0.8235338664054873,0.6696035242290749,0.926829268292683,0.7774936061381074,0.08960573476702509,0.9766223737506192,0.8840741583573278,762,75,12,152
full,xgb_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,164,0.8182929158210754,0.6666666666666666,0.9390243902439024,0.779746835443038,0.09199522102747909,0.9766223737506192,0.8840741583573278,760,77,10,154
full,rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,best_f1,143,1001,164,0.5833126108168225,0.5681818181818182,0.9146341463414634,0.7009345794392523,0.13620071684587814,0.9577687443541103,0.7987841826137612,723,114,14,150
full,rf_per_bssid,RogueAP_29.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,164,0.5341624856021481,0.5451263537906137,0.9207317073170732,0.6848072562358276,0.15053763440860216,0.9577687443541103,0.7987841826137612,711,126,13,151
full,xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,best_f1,143,1002,57,0.751785287857057,0.49557522123893805,0.9824561403508771,0.6588235294117647,0.06031746031746032,0.9772022649215633,0.6423725590177458,888,57,1,56
full,xgb_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.20,143,1002,57,0.8606517910957336,0.53125,0.8947368421052632,0.6666666666666666,0.047619047619047616,0.9772022649215633,0.6423725590177458,900,45,6,51
full,rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,best_f1,143,1002,57,0.533707134869676,0.44715447154471544,0.9649122807017544,0.6111111111111112,0.07195767195767196,0.9733407593056717,0.5778776143241164,877,68,2,55
full,rf_per_bssid,RogueAP_30.csv,RogueAP_39.csv,fpr_le_0.20,143,1002,57,0.4824110316731356,0.4409448818897638,0.9824561403508771,0.6086956521739131,0.07513227513227513,0.9733407593056717,0.5778776143241164,874,71,1,56
full,xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,best_f1,143,1001,61,0.6575603079795861,0.5673076923076923,0.9672131147540983,0.7151515151515152,0.047872340425531915,0.9839902336937565,0.7252248570315232,895,45,2,59
full,xgb_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,61,0.8504601120948792,0.6043956043956044,0.9016393442622951,0.7236842105263158,0.03829787234042553,0.9839902336937565,0.7252248570315232,904,36,6,55
full,rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,best_f1,143,1001,61,0.5230888996675636,0.5714285714285714,0.9836065573770492,0.7228915662650602,0.047872340425531915,0.9834844785490059,0.7134575166508726,895,45,1,60
full,rf_per_bssid,RogueAP_31.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,61,0.47293302275918114,0.5545454545454546,1.0,0.7134502923976608,0.052127659574468084,0.9834844785490059,0.7134575166508726,891,49,0,61
full,xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,best_f1,143,1003,64,0.6834847974777241,0.5254237288135594,0.96875,0.6813186813186813,0.059637912673056445,0.9760716187433439,0.6402395425782585,883,56,2,62
full,xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,64,0.8386942148208618,0.5495495495495496,0.953125,0.6971428571428572,0.05324813631522897,0.9760716187433439,0.6402395425782585,889,50,3,61
full,rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,best_f1,143,1003,64,0.4779898353503709,0.5210084033613446,0.96875,0.6775956284153005,0.06070287539936102,0.9680011980830672,0.5239056188300983,882,57,2,62
full,rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,64,0.41321216285914447,0.5080645161290323,0.984375,0.6702127659574468,0.06496272630457935,0.9680011980830672,0.5239056188300983,878,61,1,63
full,xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,best_f1,143,1002,67,0.7520076799392709,0.6036036036036037,1.0,0.7528089887640449,0.047058823529411764,0.9857610344001916,0.8115680903856657,891,44,0,67
full,xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.20,143,1002,67,0.8229296207427979,0.6226415094339622,0.9850746268656716,0.7630057803468208,0.0427807486631016,0.9857610344001916,0.8115680903856657,895,40,1,66
full,rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,best_f1,143,1002,67,0.36624105827178666,0.55,0.9850746268656716,0.7058823529411765,0.057754010695187166,0.9837975895921462,0.7775013938824359,881,54,1,66
full,rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.20,143,1002,67,0.3005147983711736,0.5447154471544715,1.0,0.7052631578947368,0.059893048128342244,0.9837975895921462,0.7775013938824359,879,56,0,67
full,xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,best_f1,143,1003,91,0.7146914410591136,0.6642335766423357,1.0,0.7982456140350878,0.05043859649122807,0.988131386157702,0.8783499011319862,866,46,0,91
full,xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,91,0.8078525066375732,0.6818181818181818,0.989010989010989,0.8071748878923767,0.046052631578947366,0.988131386157702,0.8783499011319862,870,42,1,90
full,rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,best_f1,143,1003,91,0.5329913221601992,0.6382978723404256,0.989010989010989,0.7758620689655172,0.05592105263157895,0.9800824175824175,0.7895351988594885,861,51,1,90
full,rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,91,0.48948978591774983,0.6206896551724138,0.989010989010989,0.7627118644067796,0.06030701754385965,0.9800824175824175,0.7895351988594885,857,55,1,90
full,xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,best_f1,143,1003,130,0.5788663363456753,0.675531914893617,0.9769230769230769,0.7987421383647799,0.06987399770904926,0.9757027050841485,0.8324513802216604,812,61,3,127
full,xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,130,0.8015404343605042,0.6871508379888268,0.9461538461538461,0.7961165048543689,0.06414662084765177,0.9757027050841485,0.8324513802216604,817,56,7,123
full,rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,best_f1,143,1003,130,0.5308202114183941,0.648936170212766,0.9384615384615385,0.7672955974842768,0.07560137457044673,0.9640056392633712,0.7327772167188243,807,66,8,122
full,rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,130,0.4833830372823123,0.6458333333333334,0.9538461538461539,0.7701863354037267,0.07789232531500573,0.9640056392633712,0.7327772167188243,805,68,6,124
full,xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,best_f1,143,1003,67,0.7121457457542437,0.5454545454545454,0.9850746268656716,0.7021276595744681,0.05876068376068376,0.9820130118637582,0.7636208038717975,881,55,1,66
full,xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,67,0.8594439625740051,0.5555555555555556,0.9701492537313433,0.7065217391304348,0.05555555555555555,0.9820130118637582,0.7636208038717975,884,52,2,65
full,rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,best_f1,143,1003,67,0.5655261449805007,0.5454545454545454,0.9850746268656716,0.7021276595744681,0.05876068376068376,0.9807692307692307,0.7120253986710898,881,55,1,66
full,rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,67,0.5213628975318179,0.5365853658536586,0.9850746268656716,0.6947368421052632,0.060897435897435896,0.9807692307692307,0.7120253986710898,879,57,1,66
full,xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,best_f1,143,1001,105,0.7014538884162917,0.5833333333333334,1.0,0.7368421052631579,0.08370535714285714,0.9729007227891155,0.7606074779026543,821,75,0,105
full,xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,105,0.8259249925613403,0.5932203389830508,1.0,0.7446808510638298,0.08035714285714286,0.9729007227891155,0.7606074779026543,824,72,0,105
full,rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,best_f1,143,1001,105,0.48446154747416204,0.5585106382978723,1.0,0.7167235494880546,0.09263392857142858,0.9737244897959183,0.7553512322479942,813,83,0,105
full,rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.20,143,1001,105,0.435237613563846,0.546875,1.0,0.7070707070707071,0.09709821428571429,0.9737244897959183,0.7553512322479942,809,87,0,105
full,xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,best_f1,143,1003,114,0.7380498266220102,0.6745562130177515,1.0,0.8056537102473498,0.06186726659167604,0.9883961873186904,0.9091676711934095,834,55,0,114
full,xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,114,0.8151865005493164,0.6766467065868264,0.9912280701754386,0.8042704626334519,0.06074240719910011,0.9883961873186904,0.9091676711934095,835,54,1,113
full,rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,best_f1,143,1003,114,0.5586333032542397,0.6706586826347305,0.9824561403508771,0.797153024911032,0.06186726659167604,0.9732697886448404,0.7511583001143756,834,55,2,112
full,rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.20,143,1003,114,0.5139776287924878,0.6608187134502924,0.9912280701754386,0.7929824561403509,0.06524184476940383,0.9732697886448404,0.7511583001143756,831,58,1,113
