model,policy,files,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,auroc_mean,pr_auc_mean,test_windows_total,test_positive_windows_total
xgb_per_bssid,fpr_le_0.20,17,0.5532117296370371,0.17036343195400044,0.9409236319369063,0.0656293218168488,0.6745344525608791,0.18263791935896503,0.056108403049123394,0.020280424686591775,0.9785967168137245,0.7103052378800682,16487,1288
xgb_per_bssid,fpr_le_0.30,17,0.5532117296370371,0.17036343195400044,0.9409236319369063,0.0656293218168488,0.6745344525608791,0.18263791935896503,0.056108403049123394,0.020280424686591775,0.9785967168137245,0.7103052378800682,16487,1288
xgb_per_bssid,best_f1,17,0.5301495134416158,0.16974133012551132,0.9672355024800346,0.03702615649351783,0.6631448664932273,0.19204356877240344,0.06490417337883428,0.020303412540020473,0.9785967168137245,0.7103052378800682,16487,1288
rf_per_bssid,best_f1,17,0.497261869364139,0.16702155809080257,0.9565320112992055,0.04036211725919542,0.6320765682610087,0.19320951646464804,0.07718174479913825,0.038467979089511155,0.970632487044932,0.6365350126156265,16487,1288
rf_per_bssid,fpr_le_0.20,17,0.48778896293982055,0.1647471020915234,0.9733608902197425,0.032214997159311275,0.6284266591556145,0.19416181099574492,0.08211210263562757,0.03861758689974463,0.970632487044932,0.6365350126156265,16487,1288
rf_per_bssid,fpr_le_0.30,17,0.48778896293982055,0.1647471020915234,0.9733608902197425,0.032214997159311275,0.6284266591556145,0.19416181099574492,0.08211210263562757,0.03861758689974463,0.970632487044932,0.6365350126156265,16487,1288
