scenario_background_mode,episodes,tp,fn,fp,tn,precision,recall,f1,fpr,mean_detection_latency_sec
burst,30,10,4,8,8,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.5,0.3821466684341431
light,30,12,2,8,8,0.6,0.8571428571428571,0.7058823529411764,0.5,0.3799225091934204
mixed,30,10,4,8,8,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.5,0.3549560546875
quiet,30,12,2,0,16,1.0,0.8571428571428571,0.923076923076923,0.0,0.37173521518707275
